"{Geometry : SchwarzschildFlamm, Control : SchwarzschildFlamm_matchedFlatOriginal, Diagnostic : CLog, BHCorrR : -0.9888132545829333, FlatCorrR : -0.2076672071633345, Gap : -0.7811460474195988, AbsGap : 0.7811460474195988}"
"{Geometry : SchwarzschildFlamm, Control : SchwarzschildFlamm_matchedFlatOriginal, Diagnostic : MeanLogShellSize, BHCorrR : -0.908591501284882, FlatCorrR : -0.5650051929874039, Gap : -0.34358630829747805, AbsGap : 0.34358630829747805}"
"{Geometry : SchwarzschildFlamm, Control : SchwarzschildFlamm_matchedFlatOriginal, Diagnostic : MeanLogMultiplicityByShell, BHCorrR : -0.9822188719947468, FlatCorrR : 0.5456805916191241, Gap : -1.527899463613871, AbsGap : 1.527899463613871}"
"{Geometry : SchwarzschildFlamm, Control : SchwarzschildFlamm_matchedFlatOriginal, Diagnostic : Degree, BHCorrR : -0.9493512752960229, FlatCorrR : -0.0629208315521949, Gap : -0.8864304437438281, AbsGap : 0.8864304437438281}"
"{Geometry : SchwarzschildFlamm, Control : SchwarzschildFlamm_matchedFlatOriginal, Diagnostic : ClusteringCoefficient, BHCorrR : 0.4778726966264458, FlatCorrR : 0.47554083633643157, Gap : 0.0023318602900142538, AbsGap : 0.0023318602900142538}"
"{Geometry : ReissnerNordstrom, Control : ReissnerNordstrom_matchedFlatOriginal, Diagnostic : CLog, BHCorrR : -0.9893321330273173, FlatCorrR : -0.2076672071633345, Gap : -0.7816649258639827, AbsGap : 0.7816649258639827}"
"{Geometry : ReissnerNordstrom, Control : ReissnerNordstrom_matchedFlatOriginal, Diagnostic : MeanLogShellSize, BHCorrR : -0.9112884130995788, FlatCorrR : -0.5650051929874039, Gap : -0.3462832201121748, AbsGap : 0.3462832201121748}"
"{Geometry : ReissnerNordstrom, Control : ReissnerNordstrom_matchedFlatOriginal, Diagnostic : MeanLogMultiplicityByShell, BHCorrR : -0.9831777397491909, FlatCorrR : 0.5456805916191241, Gap : -1.528858331368315, AbsGap : 1.528858331368315}"
"{Geometry : ReissnerNordstrom, Control : ReissnerNordstrom_matchedFlatOriginal, Diagnostic : Degree, BHCorrR : -0.9557190922869379, FlatCorrR : -0.0629208315521949, Gap : -0.892798260734743, AbsGap : 0.892798260734743}"
"{Geometry : ReissnerNordstrom, Control : ReissnerNordstrom_matchedFlatOriginal, Diagnostic : ClusteringCoefficient, BHCorrR : 0.4507516550715126, FlatCorrR : 0.47554083633643157, Gap : -0.02478918126491897, AbsGap : 0.02478918126491897}"
"{Geometry : Bardeen, Control : Bardeen_matchedFlatOriginal, Diagnostic : CLog, BHCorrR : -0.9901154895568487, FlatCorrR : -0.2076672071633345, Gap : -0.7824482823935142, AbsGap : 0.7824482823935142}"
"{Geometry : Bardeen, Control : Bardeen_matchedFlatOriginal, Diagnostic : MeanLogShellSize, BHCorrR : -0.9116198099182955, FlatCorrR : -0.5650051929874039, Gap : -0.3466146169308916, AbsGap : 0.3466146169308916}"
"{Geometry : Bardeen, Control : Bardeen_matchedFlatOriginal, Diagnostic : MeanLogMultiplicityByShell, BHCorrR : -0.9835472773847369, FlatCorrR : 0.5456805916191241, Gap : -1.529227869003861, AbsGap : 1.529227869003861}"
"{Geometry : Bardeen, Control : Bardeen_matchedFlatOriginal, Diagnostic : Degree, BHCorrR : -0.9567725354217963, FlatCorrR : -0.0629208315521949, Gap : -0.8938517038696014, AbsGap : 0.8938517038696014}"
"{Geometry : Bardeen, Control : Bardeen_matchedFlatOriginal, Diagnostic : ClusteringCoefficient, BHCorrR : 0.45090361022441844, FlatCorrR : 0.47554083633643157, Gap : -0.024637226112013133, AbsGap : 0.024637226112013133}"
"{Geometry : Hayward, Control : Hayward_matchedFlatOriginal, Diagnostic : CLog, BHCorrR : -0.9902636531090523, FlatCorrR : -0.2076672071633345, Gap : -0.7825964459457178, AbsGap : 0.7825964459457178}"
"{Geometry : Hayward, Control : Hayward_matchedFlatOriginal, Diagnostic : MeanLogShellSize, BHCorrR : -0.9110614691901128, FlatCorrR : -0.5650051929874039, Gap : -0.34605627620270885, AbsGap : 0.34605627620270885}"
"{Geometry : Hayward, Control : Hayward_matchedFlatOriginal, Diagnostic : MeanLogMultiplicityByShell, BHCorrR : -0.9826676574833755, FlatCorrR : 0.5456805916191241, Gap : -1.5283482491024996, AbsGap : 1.5283482491024996}"
"{Geometry : Hayward, Control : Hayward_matchedFlatOriginal, Diagnostic : Degree, BHCorrR : -0.954330070305329, FlatCorrR : -0.0629208315521949, Gap : -0.8914092387531342, AbsGap : 0.8914092387531342}"
"{Geometry : Hayward, Control : Hayward_matchedFlatOriginal, Diagnostic : ClusteringCoefficient, BHCorrR : 0.46206870458663235, FlatCorrR : 0.47554083633643157, Gap : -0.013472131749799221, AbsGap : 0.013472131749799221}"
