"{Geometry : SchwarzschildFlamm, Control : SchwarzschildFlamm_matchedFlatOriginal, Diagnostic : CLog, BHCorrR : -0.9643302515263249, FlatCorrR : -0.04756097116577439, Gap : -0.9167692803605505, AbsGap : 0.9167692803605505, GraphShellRadius : 2}"
"{Geometry : SchwarzschildFlamm, Control : SchwarzschildFlamm_matchedFlatOriginal, Diagnostic : MeanLogShellSize, BHCorrR : -0.9056686130275734, FlatCorrR : -0.4890944854972958, Gap : -0.4165741275302776, AbsGap : 0.4165741275302776, GraphShellRadius : 2}"
"{Geometry : SchwarzschildFlamm, Control : SchwarzschildFlamm_matchedFlatOriginal, Diagnostic : MeanLogMultiplicityByShell, BHCorrR : -0.9333476953107167, FlatCorrR : 0.20926542822115246, Gap : -1.142613123531869, AbsGap : 1.142613123531869, GraphShellRadius : 2}"
"{Geometry : SchwarzschildFlamm, Control : SchwarzschildFlamm_matchedFlatOriginal, Diagnostic : Degree, BHCorrR : -0.950234712492843, FlatCorrR : -0.1934825041725715, Gap : -0.7567522083202715, AbsGap : 0.7567522083202715, GraphShellRadius : 2}"
"{Geometry : SchwarzschildFlamm, Control : SchwarzschildFlamm_matchedFlatOriginal, Diagnostic : ClusteringCoefficient, BHCorrR : 0.12629968722666063, FlatCorrR : 0.4725446208257123, Gap : -0.3462449335990517, AbsGap : 0.3462449335990517, GraphShellRadius : 2}"
"{Geometry : SchwarzschildFlamm, Control : SchwarzschildFlamm_matchedFlatOriginal, Diagnostic : CLog, BHCorrR : -0.9824219848086295, FlatCorrR : -0.26200644555431346, Gap : -0.7204155392543161, AbsGap : 0.7204155392543161, GraphShellRadius : 3}"
"{Geometry : SchwarzschildFlamm, Control : SchwarzschildFlamm_matchedFlatOriginal, Diagnostic : MeanLogShellSize, BHCorrR : -0.9007165543949199, FlatCorrR : -0.5025576008268715, Gap : -0.3981589535680484, AbsGap : 0.3981589535680484, GraphShellRadius : 3}"
"{Geometry : SchwarzschildFlamm, Control : SchwarzschildFlamm_matchedFlatOriginal, Diagnostic : MeanLogMultiplicityByShell, BHCorrR : -0.9591291835632103, FlatCorrR : 0.5897616571549854, Gap : -1.5488908407181956, AbsGap : 1.5488908407181956, GraphShellRadius : 3}"
"{Geometry : SchwarzschildFlamm, Control : SchwarzschildFlamm_matchedFlatOriginal, Diagnostic : Degree, BHCorrR : -0.950234712492843, FlatCorrR : -0.1934825041725715, Gap : -0.7567522083202715, AbsGap : 0.7567522083202715, GraphShellRadius : 3}"
"{Geometry : SchwarzschildFlamm, Control : SchwarzschildFlamm_matchedFlatOriginal, Diagnostic : ClusteringCoefficient, BHCorrR : 0.12629968722666063, FlatCorrR : 0.4725446208257123, Gap : -0.3462449335990517, AbsGap : 0.3462449335990517, GraphShellRadius : 3}"
"{Geometry : SchwarzschildFlamm, Control : SchwarzschildFlamm_matchedFlatOriginal, Diagnostic : CLog, BHCorrR : -0.970233755277778, FlatCorrR : -0.0832077088226506, Gap : -0.8870260464551274, AbsGap : 0.8870260464551274, GraphShellRadius : 4}"
"{Geometry : SchwarzschildFlamm, Control : SchwarzschildFlamm_matchedFlatOriginal, Diagnostic : MeanLogShellSize, BHCorrR : -0.9277700769618958, FlatCorrR : -0.7461703342113896, Gap : -0.18159974275050628, AbsGap : 0.18159974275050628, GraphShellRadius : 4}"
"{Geometry : SchwarzschildFlamm, Control : SchwarzschildFlamm_matchedFlatOriginal, Diagnostic : MeanLogMultiplicityByShell, BHCorrR : -0.9704957043324798, FlatCorrR : 0.5538257062688285, Gap : -1.5243214106013083, AbsGap : 1.5243214106013083, GraphShellRadius : 4}"
"{Geometry : SchwarzschildFlamm, Control : SchwarzschildFlamm_matchedFlatOriginal, Diagnostic : Degree, BHCorrR : -0.950234712492843, FlatCorrR : -0.1934825041725715, Gap : -0.7567522083202715, AbsGap : 0.7567522083202715, GraphShellRadius : 4}"
"{Geometry : SchwarzschildFlamm, Control : SchwarzschildFlamm_matchedFlatOriginal, Diagnostic : ClusteringCoefficient, BHCorrR : 0.12629968722666063, FlatCorrR : 0.4725446208257123, Gap : -0.3462449335990517, AbsGap : 0.3462449335990517, GraphShellRadius : 4}"
"{Geometry : SchwarzschildFlamm, Control : SchwarzschildFlamm_matchedFlatOriginal, Diagnostic : CLog, BHCorrR : -0.952579814762148, FlatCorrR : 0.09713137423601353, Gap : -1.0497111889981616, AbsGap : 1.0497111889981616, GraphShellRadius : 5}"
"{Geometry : SchwarzschildFlamm, Control : SchwarzschildFlamm_matchedFlatOriginal, Diagnostic : MeanLogShellSize, BHCorrR : -0.9510158494721007, FlatCorrR : -0.9536433443489016, Gap : 0.0026274948768009176, AbsGap : 0.0026274948768009176, GraphShellRadius : 5}"
"{Geometry : SchwarzschildFlamm, Control : SchwarzschildFlamm_matchedFlatOriginal, Diagnostic : MeanLogMultiplicityByShell, BHCorrR : -0.9594650065541621, FlatCorrR : 0.418198856107738, Gap : -1.3776638626619002, AbsGap : 1.3776638626619002, GraphShellRadius : 5}"
"{Geometry : SchwarzschildFlamm, Control : SchwarzschildFlamm_matchedFlatOriginal, Diagnostic : Degree, BHCorrR : -0.950234712492843, FlatCorrR : -0.1934825041725715, Gap : -0.7567522083202715, AbsGap : 0.7567522083202715, GraphShellRadius : 5}"
"{Geometry : SchwarzschildFlamm, Control : SchwarzschildFlamm_matchedFlatOriginal, Diagnostic : ClusteringCoefficient, BHCorrR : 0.12629968722666063, FlatCorrR : 0.4725446208257123, Gap : -0.3462449335990517, AbsGap : 0.3462449335990517, GraphShellRadius : 5}"
